ROTACION DUANA @@@@@@@
CODIGO@MEDICAMENTO@MOLECULA@PROMEDIO MES@STOCK FARMACIA@PEDIDO 60 DIAS@@STOCK BODEGA
180A0370299@ABACAVIR 300mg TABLETA | FRASCO X 60. LEGRAND@ABACAVIR@0@60@0@@0
1277F0570001@FOSTREN SOBRES 3gr POLVO PARA DISOLVER | CAJA X 1. NEVOX FARMA@FOSFOMICINA TROMETAMOL@15@0@30@@49
199F0620001@IOFI 60+70+0.40mg TABLETA | FRASCO X 30. LAPROFF@FUMARATO FERROSO+ACIDO FOLICO+ACIDO ASCORBICO@75@60@90@@6000
1109F0622183@ANEMIDOX 330+1.000+100mg TABLETA | FRASCO X 20. MERCK@FUMARATO FERROSO+ACIDO FOLICO+ACIDO ASCORBICO@90@120@60@@0
168F0172059@FUROSEMIDA 40mg TABLETA | CAJA X 300. GEN-FAR S.A@FUROSEMIDA@165@0@330@@60
1158F0170002@FUROSEMIDA 40mg TABLETA | CAJA X 300. TECNOQUIMICAS@FUROSEMIDA@950@1350@550@@30
1116GP220001@GABAPENTINA 300mg CAPSULA | CAJA X 10. NOVARTIS@GABAPENTINA@1730@1860@1600@@0
1101G0222239@KAPTIN 400mg CAPSULA | CAJA X 100. LEGRAND@GABAPENTINA@690@807@573@@2587
1161G0270001@VIRGAN GEL 5g SOLUCION OFTALMICAS | TUBO X 1. QUIDECA@GANCICLOVIR@0@1@0@@3
1145G0282251@POENGATIF 0.3% SOLUCION OFTALMICAS | FRASCO X 5ml. SCANDINAVIA@GATIFLOXACINA@0@2@0@@0
1168G0022192@GEMFIBROZILO 600mg TABLETA | CAJA X 300. GEN-FAR S.A@GEMFIBROZILO@1110@729@1491@@300
1163G0032222@GENTAMICINA 160mg/2ml SOLUCION INYECTABLE | CAJA X 1. VITALIS@GENTAMICINA (SULFATO)@30@14@47@@2707
1163G0032223@GENTAMICINA  80mg/2ml SOLUCION INYECTABLE | CAJA X 10. VITALIS@GENTAMICINA (SULFATO)@7@20@0@@2610
1125G0032212@GENTAMICINA 0.3% SOLUCION OFTALMICAS | FRASCO X 6ML. PROCAPS@GENTAMICINA (SULFATO)@4@8@0@@277
143G0040001@GLIBENCLAMIDA  5mg TABLETA | CAJA X 300. COASPHARMA@GLIBENCLAMIDA@30@150@0@@0
1714GP230001@GLICERINA CARBONATADA 30ml SOLUCION OTICA | FRASCO X 1. LABORATORIO NATURQUIM@GLICERINA CARBONATADA@31@0@62@@421
1357G0380001@GLICERINA CARBONATADA  30ml SOLUCION OTICA | FRASCO X 1. PRODUCTOS DROGAM@GLICERINA CARBONATADA@14@2@26@@8
192G0422290@GLIMEPIRIDA 2mg TABLETA | CAJA X 16. LA SANTE@GLIMEPIRIDA@270@188@352@@0
192GM010001@GLIMEPIRIDA 4mg TABLETA | CAJA X 16. LA SANTE@GLIMEPIRIDA@300@440@160@@0
127G0460001@GLUCONITRIN D SOBRES 1500+1200mg POLVO PARA DISOLVER | CAJA X 30. BIOQUIFAR@GLUCOSAMINA+CONDROITIN@135@180@90@@33000
127G0470001@GLUCONITRIN - S 1500mg POLVO PARA DISOLVER | CAJA X 60. BIOQUIFAR@GLUCOSAMINA SULFATO@41@180@0@@12780
199G0552337@GUAYAPROFF JARABE 2% SOLUCION ORAL | FRASCO X 120ML. LAPROFF@GUAYACOLATO DE GLICERIO@14@24@5@@515
180H0012342@HALOPERIDOL 10mg TABLETA | CAJA X 100. HUMAX@HALOPERIDOL@60@150@0@@2940
13H0012341@HALOPERIDOL 2mg/ml SOLUCION ORAL | FRASCO X 15mL. ACTIFARMA@HALOPERIDOL@7@12@3@@398
180H0012344@HALOPERIDOL 5mg TABLETA | CAJA X 100. HUMAX@HALOPERIDOL@45@270@0@@5190
1119H0280001@HIALTEARS GOTAS 4% SOLUCION OFTALMICAS | FRASCO X 10mL. ESPECIALIDADES OFT@HIALURONATO DE SODIO@59@67@52@@0
1151H0282436@LAGRICEL 0.4%x0.5ml SOLUCION OFTALMICAS | CAJA X 20 VIALES. SOPHIA@HIALURONATO DE SODIO@4@0@9@@0
1158H0062367@HIDROCLOROTIAZIDA 25mg TABLETA | CAJA X 300. TECNOQUIMICAS@HIDROCLOROTIAZIDA@1402@1730@1075@@733520
127H0070001@CORTISOLONA 0.5% LOCION | FRASCO X 30mL. BIOQUIFAR@HIDROCORTISONA ACETATO@7@14@0@@293
198H0072367@HIDROCORTISONA 1% CREMA | TUBO X 15g. LAFRANCOL@HIDROCORTISONA ACETATO@35@50@21@@0
198L0492954@HEBAL 1g/2g UNGUENTO | TUBO X 20g. LAFRANCOL@HIDROCORTISONA-BENZOCAINA@61@33@89@@0
1113D0220091@HIDROMORFONA  2.5mg TABLETA | CAJA X 20. MINSALUD@HIDROMORFONA CLORHIDRATO@420@640@200@@0
1161H0340001@VENOSMIL 200mg CAPSULA | CAJA X 60. FAES FARMA@HIDROSMINA@45@30@60@@60
168H0222419@HIDROXICINA 25mg TABLETA | CAJA X 20. GEN-FAR S.A@HIDROXICINA@1554@1940@1169@@0
198H0142414@HIDERAX 100mg/2ml SOLUCION INYECTABLE | CAJA X 1. LAFRANCOL@HIDROXICINA@1@1@2@@1
127H0360001@ARTROQUIN 400mg TABLETA | CAJA X 20. BIOQUIFAR@HIDROXICLOROQUINA@161@20@303@@3330
127H0360002@ARTROQUIN 200mg TABLETA | CAJA X 20. BIOQUIFAR@HIDROXICLOROQUINA@351@258@444@@31940
155A1790019@MILPAX PLUS MENTA 0.633g+2.39g/100ml SUSPENSION ORAL | FRASCO X 355ML. FARMA@HIDROXIDO DE ALUMINIO+CARBONATO DE MAGNESIO@2@6@0@@0
1158H0380001@HIPROLUB 0.3% SOLUCION OFTALMICAS | FRASCO X 15ml. TECNOQUIMICAS@HIDROXIPROPIL METIL CELULOSA@4@1@8@@65
14H0392458@TEARS NATURAL FREE 1+3mg/0.8ml SOLUCION OFTALMICAS | CAJA X 32. ALCON@HIDROXIPROPIL METIL CELULOSA-DEXTRANO 70@1@2@0@@3
18H0412463@HYDROXYUREA 500mg CAPSULA | CAJA X 100. ALPHARMA@HIDROXIUREA@1014@407@1621@@0
155H0452469@HERREX FOL 1000mcg+1mg TABLETA | CAJA X 30. FARMA@HIERRO POLIMATOSADO+ACIDO FOLICO@30@30@30@@20
119D0070001@COMPLEJO DE HIDROXIDO DE HIERRO EN SACARATO INY 100mg/5ml SOLUCION INYECTABLE | CAJA X 5. BAXTER@HIERRO SACARATO (HIERRO III-COMPLEJO DE HIDROXIDO SUCROSA@0@20@0@@0
127I0790001@COLESPAS 10mg TABLETA | CAJA X 1000. BIOQUIFAR@HIOSCINA N-BUTIL BROMURO@2533@2313@2754@@86216
127I0020002@BIPROFEN 100mg/5ml SUSPENSION ORAL | FRASCO X 120ML. BIOQUIFAR@IBUPROFENO@0@3@0@@201
168I0022501@IBUPROFENO 400mg TABLETA | CAJA X 100. GEN-FAR S.A@IBUPROFENO@1263@4@2523@@0
180I0052522@IMIPRAMINA 10mg TABLETA | CAJA X 100. HUMAX@IMIPRAMINA@105@160@50@@5900
180I0052520@IMIPRAMINA 25mg TABLETA | CAJA X 100. HUMAX@IMIPRAMINA@900@775@1025@@47660
1116I0860001@ULTIBRO BREEZHALER 110+50mcg POLVO PARA INHALACION	 | CAJA X 30. NOVARTIS@INDACATEROL GLICOPIRRONIO@345@0@690@@0
153I048A2599@NATRILIX SR RETARD 1.5mg TABLETA | CAJA X 30. LABORATORIOS SERVIER DE COLOMB@INDAPAMIDA@30@30@30@@0
1145I0552618@NOVORAPID FLEXPEN 100ui/3ml SOLUCION INYECTABLE | CAJA X 5. NOVONORDISK@INSULINA ASPARTA@24@0@48@@0
1410I0900001@TRESIBA 100ui SOLUCION INYECTABLE | CAJA X 1. NOVONORDISK@INSULINA DEGLUDEC@37@40@34@@0
1145L0360001@LEVEMIR CARTUCHO 100ui/ml SOLUCION INYECTABLE | CAJA X 5. NOVONORDISK@INSULINA DETEMIR@11@9@14@@0
1144G0332273@LANTUS SOLOSTAR 300ui/3ml SOLUCION INYECTABLE | CAJA X 162. SANOFI-AVENTIS@INSULINA GLARGINA@41@66@17@@0
1144G0332271@LANTUS 100ui/mlx10ml SOLUCION INYECTABLE | CAJA X 120. SANOFI-AVENTIS@INSULINA GLARGINA@8@0@17@@0
1144I0552616@APIDRA 100ui/mlx10ml SOLUCION INYECTABLE | CAJA X 120. SANOFI-AVENTIS@INSULINA GLULISINA@0@13@0@@0
1144I0572622@APIDRA SOLOSTAR 300ui/3ml SOLUCION INYECTABLE | CAJA X 162. SANOFI-AVENTIS@INSULINA GLULISINA@40@24@57@@0
1105I0552614@HUMALOG  100ui/10ml SOLUCION INYECTABLE | CAJA X 1. LILLY@INSULINA LISPRO@4@7@2@@0
130I0172555@CIPLATROPIUM 0.025% SOLUCION PARA INHALACION | FRASCO X 15ml. BIOTOSCANA@IPRATROPIO BROMURO@2@2@2@@1683
132I0172558@ATROVENT 0.025% SOLUCION PARA INHALACION | FRASCO X 20ml. BOEHRINGER@IPRATROPIO BROMURO@1@2@0@@0
140I0172559@ASPROMIO 20mcg SOLUCION PARA INHALACION | FRASCO X 10ml. CHALVER@IPRATROPIO BROMURO@77@72@83@@0
1175I0660001@IRBETT 300mg TABLETA | CAJA X 28. SIEGFRIED@IRBESARTAN@29@308@0@@0
1112I0662635@IRBETT 150mg TABLETA | CAJA X 28. SIEGFRIED@IRBESARTAN@87@0@175@@0
175I0672642@IRBEPREX H 150/12.5mg TABLETA | CAJA X 30. GARMISCH@IRBESARTAN+HIDROCLOROTIAZIDA@15@30@0@@0
168I0682651@ISOCONAZOL 1% SOLUCION TOPICA | FRASCO X 20ML. GEN-FAR S.A@ISOCONAZOL@5@4@6@@0
168I0682652@ISOCONAZOL 1% CREMA | TUBO X 20GR. GEN-FAR S.A@ISOCONAZOL@5@8@3@@0
1161I0192564@ISONIAZIDA 300mg TABLETA O CAPSULA | CAJA X 10. VESALIUS PHARMA S.A.S@ISONIAZIDA@90@90@90@@0
1308I0192565@SOLONEX 100mg TABLETA O CAPSULA | CAJA X 100. VESALIUS PHARMA S.A.S@ISONIAZIDA@0@10@0@@0
118I0202566@ISOCORD SUBLINGUAL 5mg TABLETA | CAJA X 20. BAGO@ISOSORBIDE DINITRATO@15@10@20@@0
199I0202569@DINITRATO DE ISOSORBIDA 10mg TABLETA | CAJA X 300. LAPROFF@ISOSORBIDE DINITRATO@150@465@0@@26192
174I0702664@TRETINEX 20mg CAPSULA | CAJA X 30. LAFRANCOL@ISOTRETINOINA@177@0@355@@70
1125I0702667@ISOFACE 20mg CAPSULA | CAJA X 30. PROCAPS@ISOTRETINOINA@167@25@310@@0
127I0722676@MICOTRAZOL 100mg CAPSULA | CAJA X 100. BIOQUIFAR@ITRACONAZOL@121@3@240@@1500
1708I0742685@PROCORALAN RECUBIERTA 5mg TABLETA | CAJA X 56. LABORATORIOS SERVIER DE COLOMB@IVABRADINA@240@392@88@@0
1708I0742686@PROCORALAN RECUBIERTA 7.5mg TABLETA | CAJA X 56. LABORATORIOS SERVIER DE COLOMB@IVABRADINA@84@56@112@@0
147I0372579@QUANOX 0.6% SOLUCION ORAL | FRASCO X 5ML. DERMACARE@IVERMECTINA@22@12@32@@0
1367K0020001@OVALE SHAMPOO 2grx250ml EMULSION | FRASCO X 1. PHARMADERM S.A.@KETOCONAZOL@1@2@0@@0
127K0022695@FUNGISTEROL 200mg TABLETA | CAJA X 250. BIOQUIFAR@KETOCONAZOL@0@185@0@@2060
168K0042715@KETOPROFENO 2.5% GEL | TUBO X 60GR. GEN-FAR S.A@KETOPROFENO@4@2@6@@0
1119K0062723@OPHTHAKER 0.5% SOLUCION OFTALMICAS | FRASCO X 5ML. ESPECIALIDADES OFT@KETOROLACO + TROMETAMINA@0@2@0@@0
127K0032694@ASMIKET  JARABE 100ml/5ml SOLUCION ORAL | FRASCO X 1. BIOQUIFAR@KETOTIFENO@15@28@2@@690
1119K0033924@KENALER 0.05% SOLUCION OFTALMICAS | FRASCO X 5ML. ESPECIALIDADES OFT@KETOTIFENO@31@0@63@@0
1119K0032709@KENALER R 0.025% SOLUCION OFTALMICAS | FRASCO X 5ML. ESPECIALIDADES OFT@KETOTIFENO@30@17@44@@300
131K0032724@BLASKET 0.5% SOLUCION OFTALMICAS | FRASCO X 5ML. BLASKOV@KETOTIFENO@9@56@0@@1257
127K0022693@ASMIKET 1mg TABLETA | CAJA X 250. BIOQUIFAR@KETOTIFENO@136@441@0@@8140
1161V0304673@VACUNA  GARDASIL 20mcg SOLUCION INYECTABLE | CAJA X 0.5ml. VARIOS E IMPORTADOS@L1 VIRUS DEL PAPILOMA HUMANO T@1@6@0@@6
1157L0660002@LACOTEM 100mg TABLETA | CAJA X 28. TECNOFARMA@LACOSAMIDA@392@448@336@@84
180L0270001@CONSTILAX 66.7g/15ml SOLUCION ORAL | CAJA X 12. HUMAX@LACTULOSA@300@170@430@@14011
1990L0190003@CONVUDINA 150/300mg TABLETA | CAJA X 60. SALUSPHARMA S.A.S.@LAMIVUDINA + ZIDOVUDINA@905@10@1800@@0
180L0192843@LAMIVUDINA+ZIDOVUDINA 150/300mg TABLETA | CAJA X 60. HUMAX@LAMIVUDINA + ZIDOVUDINA@0@600@0@@8040
171L0192842@COMBIVIR 150mg/300mg TABLETA | CAJA X 60. GLAXO@LAMIVUDINA + ZIDOVUDINA@60@0@120@@0
180L0282880@LAMOTRIGINA 50mg TABLETA | CAJA X 100. HUMAX@LAMOTRIGINA@285@300@270@@8730
1124L0280001@FENEBRA 100mg TABLETA | CAJA X 28. PISA FARMACEUTICA DE COLOMBIA@LAMOTRIGINA@487@0@974@@28
180L0282879@LAMOTRIGINA 100mg TABLETA | CAJA X 100. HUMAX@LAMOTRIGINA@487@1215@0@@31790
1156L0280001@LAFIGIN 100mg TABLETA | CAJA X 30. SYNTHESIS@LAMOTRIGINA@30@0@60@@0
168L0302895@LANSOPRAZOL 30mg CAPSULA | CAJA X 14. GEN-FAR S.A@LANSOPRAZOL@1236@0@2472@@30562
1125L0322907@LATANOX 0.05mg SOLUCION OFTALMICAS | FRASCO X 5ml. PROCAPS@LATANOPROST@216@177@255@@127
1125L0342914@INFLAXEN 20mg TABLETA | CAJA X 30. PROCAPS@LEFLUNOMIDA@1276@748@1804@@140
1990L0370002@CONVULAM 100mg/ml SOLUCION ORAL | FRASCO X 300ML. SALUSPHARMA S.A.S.@LEVETIRACETAM@8@4@13@@0
173L0372924@KEPPRA 100mg SOLUCION ORAL | FRASCO X 300ml. GLAXO@LEVETIRACETAM@4@1@7@@23
173L0372922@KEPPRA  500mg TABLETA | CAJA X 30. GLAXO@LEVETIRACETAM@330@0@660@@1020
168L0370004@LEVETIRACETAM 1000mg TABLETA | CAJA X 50. GEN-FAR S.A@LEVETIRACETAM@120@330@0@@0
1145L0372926@CEUMID 500mg TABLETA | CAJA X 30. SCANDINAVIA@LEVETIRACETAM@3570@3665@3475@@0
1367L0390001@LECETIR 5mg TABLETA | CAJA X 20. PHARMADERM S.A.@LEVOCETIRIZINA@45@10@80@@0
1108L0390001@LEVOCETIRIZINA 5mg TABLETA | CAJA X 10. MEMPHIS@LEVOCETIRIZINA@60@80@40@@0
198L0392930@ANTISS JARABE 0.5% SOLUCION ORAL | FRASCO X 100ML. LAFRANCOL@LEVOCETIRIZINA@3@1@5@@0
1136L0402934@MADOPAR 200/50mg TABLETA | FRASCO X 30. QUIDECA@LEVODOPA - BENSERAZIDA@390@150@630@@3360
1175L0032741@PARKEN 25/100mg TABLETA | CAJA X 70. SIEGFRIED@LEVODOPA + CARBIDOPA@735@1160@310@@0
1175L0032742@PARKEN 25/250mg TABLETA | CAJA X 70. SIEGFRIED@LEVODOPA + CARBIDOPA@50@0@100@@0
1168L0032740@CARBIDOPA+LEVODOPA 25/250mg TABLETA | CAJA X 30. WINTHROOP@LEVODOPA + CARBIDOPA@3001@2653@3349@@0
166L0420003@UROFLAV 500mg TABLETA | CAJA X 10. GARMISCH@LEVOFLOXACINA@61@3@120@@0
180L0042748@LEVOMEPROMAZINA 100mg TABLETA | CAJA X 100. HUMAX@LEVOMEPROMAZINA@97@340@0@@10520
180L0042746@LEVOMEPROMAZINA 25mg TABLETA | CAJA X 100. HUMAX@LEVOMEPROMAZINA@772@875@670@@23800
180L0042749@LEVOMEPROMAZINA 4% SOLUCION ORAL | FRASCO X 20ML. HUMAX@LEVOMEPROMAZINA@52@25@80@@1474
11C030001@SINOIMPLANT 75mg IMPLANTE | KIT X 1. LAFRANCOL (ABBOTT)@LEVONORGESTREL@0@2@0@@0
198L0052754@SINOVUL 150mcg+30mcg TABLETA | CAJA X 1050. LAFRANCOL@LEVONORGESTREL + ETINILESTRADIOL@760@756@765@@0
192L0840001@LEPRIT ENZIMATICO 150/25/80mg TABLETA | CAJA X 60. LA SANTE@LEVOS/SIME/PANCRE@60@60@60@@0
166L0460001@GARMISCH SULPRID 25mg TABLETA | CAJA X 20. GARMISCH@LEVOSULPIRIDE@440@90@790@@100
130L0462948@DISLEP 25mg TABLETA | CAJA X 20. BIOTOSCANA@LEVOSULPIRIDE@0@100@0@@170
1112L0062780@LEVOTIROXINA SODICA 50mcg TABLETA | CAJA X 150. SIEGFRIED@LEVOTIROXINA SODICA@13100@12721@13480@@0
1175L0062796@LEVOTIROXINA-TIROXIN 112mcg TABLETA | CAJA X 50. SIEGFRIED@LEVOTIROXINA SODICA@90@60@120@@0
1175L0062801@LEVOTIROXINA 88mg TABLETA | CAJA X 60. SIEGFRIED@LEVOTIROXINA SODICA@285@630@0@@0
1109L0062787@EUTIROX 100mg TABLETA | CAJA X 300. MERCK@LEVOTIROXINA SODICA@51@0@103@@0
1109L0062784@EUTIROX 137mcg TABLETA | CAJA X 50. MERCK@LEVOTIROXINA SODICA@10@10@10@@0
1158L0060113@LEVOTIROXINA  75mcg TABLETA | CAJA X 150. TECNOQUIMICAS@LEVOTIROXINA SODICA@8868@8468@9268@@205392
1158L0060112@LEVOTIROXINA 25mcg TABLETA | CAJA X 150. TECNOQUIMICAS@LEVOTIROXINA SODICA@1695@1311@2080@@18160
1158L0060111@LEVOTIROXINA 150mcg TABLETA | CAJA X 150. TECNOQUIMICAS@LEVOTIROXINA SODICA@651@795@508@@14100
1158L0060110@LEVOTIROXINA. 125mcg TABLETA | CAJA X 150. TECNOQUIMICAS@LEVOTIROXINA SODICA@1091@1359@824@@29420
1109L0062778@EUTIROX 125mcg TABLETA | CAJA X 50. MERCK@LEVOTIROXINA SODICA@0@16@0@@47
1109L0062776@EUTIROX 150mcg TABLETA | CAJA X 50. MERCK@LEVOTIROXINA SODICA@0@30@0@@0
1109L0062775@EUTIROX 100mcg TABLETA | CAJA X 50. MERCK@LEVOTIROXINA SODICA@59@0@119@@0
1109L0062774@EUTIROX 50mcg TABLETA | CAJA X 50. MERCK@LEVOTIROXINA SODICA@30@0@60@@40
1109L0062773@EUTIROX 25mcg TABLETA | CAJA X 50. MERCK@LEVOTIROXINA SODICA@0@33@0@@0
1112L0062779@LEVOTIROXINA SODICA 100mcg TABLETA | CAJA X 150. SIEGFRIED@LEVOTIROXINA SODICA@9529@11457@7602@@0
1138L0492956@LIDOPROCTO 60+5mg SUPOSITORIO | CAJA X 10. ROPSOHN@LIDOCAINA+CORTICOIDE@82@43@121@@0
1138L0492955@LIDOPROCTO RECTAL 5+0.28g UNGUENTO | TUBO X 10GR. ROPSOHN@LIDOCAINA+CORTICOIDE@2@4@1@@2
1124L0080003@PISACAINA 2% 50ml SOLUCION INYECTABLE | CAJA X 1. PISA FARMACEUTICA DE COLOMBIA@LIDOCAINA SIMPLE@0@1@0@@0
1138L0082801@ROXICAINA SIMPLE AMPOULEPACK 1%x10ml SOLUCION INYECTABLE | CAJA X 24. ROPSOHN@LIDOCAINA SIMPLE@1@2@0@@2
173L0522960@VERSATIS 5% PARCHE 0.7g SISTEMA TRANSDERMICO | CAJA X 5. GRUNENTHAL@LIDOCAINA SIMPLE@120@0@240@@0
1138L0082792@ROXICAINA 2% GEL | TUBO X 30mL. ROPSOHN@LIDOCAINA SIMPLE@23@0@46@@0
132L0710001@TRAYENTA 5mg TABLETA | CAJA X 30. BOEHRINGER@LINAGLIPTINA@885@0@1770@@0
132L0710003@TRAYENTA DUO 2.5/1000mg TABLETA | CAJA X 60. BOEHRINGER@LINAGLIPTINA+METFORMINA@180@0@360@@0
132L0830006@TRAYENTA DUO 2.5mg/500mg TABLETA | CAJA X 60. BOEHRINGER@LINAGLIPTINA+METFORMINA@60@0@120@@0
1410L0850001@VICTOZA 6mg/ml SOLUCION INYECTABLE | CAJA X 1. NOVONORDISK@LIRAGLUTIDA@38@1@75@@0
198L0572969@LISIPRIL 20mg TABLETA | CAJA X 10. LAFRANCOL@LISINOPRIL@60@0@120@@0
150L0152810@LOPERAMIDA 2mg TABLETA | CAJA X 240. ECAR@LOPERAMIDA@860@1044@677@@18170
1416L0200001@LOPIMUNE 200+50mg TABLETA | FRASCO X 120. AVALON PHARMACEUTICAL S.A@LOPINAVIR+RITONAVIR@1620@1440@1800@@7920
198L0162818@LORATADINA 10mg TABLETA | CAJA X 100. LAFRANCOL@LORATADINA@3994@4201@3787@@100
168L0162816@LORATADINA 10mg TABLETA | CAJA X 300. GEN-FAR S.A@LORATADINA@2@0@5@@25
168L0162815@LORATADINA JARABE 5mg/5mlx100ml SOLUCION ORAL | FRASCO X 100ML. GEN-FAR S.A@LORATADINA@8@11@5@@196
1168L0172831@LORAZEPAM 2mg TABLETA | CAJA X 30. GEN-FAR S.A@LORAZEPAM@915@760@1070@@0
1171L0172829@ATIVAN 1mg TABLETA | CAJA X 30. PFIZER@LORAZEPAM@502@30@975@@0
126L0602980@HEPA-MERZ GRANULADO 3g POLVO PARA DISOLVER | CAJA X 30. BIOPASS@L-ORNITINA LASFORTO@60@30@90@@0
1110L0632993@HYZAAR FORTE 100/25mg TABLETA | CAJA X 30. MERCK SHARP DOMME@LOSARTAN + HIDROCLOROTIAZIDA@15@30@0@@0
1158L0620003@LOSARTAN HCT  100/12.5mg TABLETA | CAJA X 15. TECNOQUIMICAS@LOSARTAN + HIDROCLOROTIAZIDA@0@90@0@@0
136L0622983@SATOREN H 50mg/12.5mg TABLETA | CAJA X 30. BUSSIE@LOSARTAN + HIDROCLOROTIAZIDA@30@90@0@@0
168L0212861@LOSARTAN 50mg TABLETA | CAJA X 900. GEN-FAR S.A@LOSARTAN POTASICO@10173@4613@15733@@0
1115L0210001@LOSARTAN 100mg TABLETA | CAJA X 300. NOVAMED@LOSARTAN POTASICO@600@547@653@@0
152L0640001@DISALOT 5% 5mg/ml SOLUCION OFTALMICAS | FRASCO X 5ML. ESPECIALIDADES OFT@LOTEPREDNOL ETABONATO@13@14@12@@0
1145L0642995@TALOF 0.2% SOLUCION OFTALMICAS | FRASCO X 5ML. SCANDINAVIA@LOTEPREDNOL ETABONATO@4@0@8@@0
198L0182837@LOVASTATINA 20mg TABLETA | CAJA X 100. LAFRANCOL@LOVASTATINA@370@500@240@@7100
168M0033002@MEBENDAZOL 100mg TABLETA | CAJA X 60. GEN-FAR S.A@MEBENDAZOL@3@30@0@@0
1101M0283180@MEBEMINT 200mg TABLETA | CAJA X 30. LEGRAND@MEBEVERINA@30@60@0@@0
198M0040054@DEPOTRIM 150mg/3ml SOLUCION INYECTABLE | CAJA X 1. LAFRANCOL@MEDROXIPROGESTERONA ACETATO@9@0@19@@6
198M0040112@MEDROXIPROGESTERONA  5mg TABLETA | CAJA X 30. LAFRANCOL@MEDROXIPROGESTERONA ACETATO@221@162@281@@0
198A080001@FEMELIN 25mg+5mg/0.5ml SOLUCION INYECTABLE | CAJA X 24. LAFRANCOL@MEDROXIPROGESTERONA ACETATO - ESTRADIOL CIPIONATO@29@0@59@@0
192M0313205@MELOXICAM 15mg TABLETA | CAJA X 50. LA SANTE@MELOXICAM@181@400@0@@0
1119M0310001@OPTICAM 0.03% SOLUCION OFTALMICAS | FRASCO X 5ML. ESPECIALIDADES OFT@MELOXICAM@0@2@0@@2
192M0313203@MELOXICAM 7.5mg TABLETA | CAJA X 10. LA SANTE@MELOXICAM@2632@2461@2804@@3140
1312M0320003@ALZANTINA 10mg TABLETA | CAJA X 30. SALUSPHARMA S.A.S.@MEMANTINE@3220@2385@4055@@0
126M026A3171@PENTASA GRANULADOS 2g SOBRE | CAJA X 30. BIOPASS@MESALAZINA@105@0@210@@0
126M026A3169@PENTASA GRANULADOS 1g SOBRE | CAJA X 50. BIOPASS@MESALAZINA@150@0@300@@0
195M026A0114@MESAX RETARD 500mg TABLETA | CAJA X 100. LABINCO@MESALAZINA@90@137@43@@0
180M026A3172@MESALAZINA CON RECUBIERTA 500mg TABLETA | CAJA X 30. HUMAX@MESALAZINA@1665@60@3270@@24780
195M026A0117@MESAX 4g/60ml SUSPENSION RECTAL | CAJA X 7. LABINCO@MESALAZINA@7@7@7@@0
195M026A0116@MESAX 500mg SUPOSITORIO | CAJA X 10. LABINCO@MESALAZINA@17@80@0@@0
1161M0103015@METADONA 10mg TABLETA | CAJA X 20. VARIOS E IMPORTADOS@METADONA@180@0@360@@0
1124M0110001@METFORMINA CLORHIDRATO 850mg TABLETA | CAJA X 30. PISA FARMACEUTICA DE COLOMBIA@METFORMINA@2220@2712@1728@@730320
168M0113030@METFORMINA RECUBIERTA 500mg TABLETA | CAJA X 300. GEN-FAR S.A@METFORMINA@1317@2475@160@@0
1113M0123034@RITALINA 10mg TABLETA | CAJA X 30. MINSALUD@METILFENIDATO@195@285@105@@0
1121M0493258@MEDROL 16mg TABLETA | CAJA X 14. PFIZER@METILPREDNISOLONA@5@15@0@@28
1121M0493260@MEDROL 4mg TABLETA | CAJA X 50. PFIZER@METILPREDNISOLONA@95@110@80@@0
1121M0493261@DEPO-MEDROL 40mg/ml SUSPENSION INYECTABLE | FRASCO X 5ml. PFIZER@METILPREDNISOLONA  SUCCINATO@1@0@3@@0
198M0143048@METIMAZOL 5mg TABLETA | CAJA X 100. LAFRANCOL@METIMAZOL@1137@1613@661@@56
195M0150001@MIOFLEX 750mg TABLETA | CAJA X 100. LABINCO@METOCARBAMOL@3058@2596@3520@@0
127M0160001@NOVOMIT 30ml SOLUCION ORAL | FRASCO X 1. BIOQUIFAR@METOCLOPRAMIDA@5@13@0@@0
199M0163069@METOCLOPRAMIDA 10mg TABLETA | CAJA X 300. LAPROFF@METOCLOPRAMIDA@418@654@182@@12708
1126M0160002@METOCLOPRAMIDA 10mg/2ml SOLUCION INYECTABLE | CAJA X 100. PROCLIN@METOCLOPRAMIDA@0@3@0@@0
180M0520001@CARPROL 25mg TABLETA | CAJA X 30. HUMAX@METOPROLOL SUCCINATO@15@60@0@@3210
180M0520003@CARPROL 100mg TABLETA | CAJA X 30. HUMAX@METOPROLOL SUCCINATO@630@390@870@@11240
180M0520002@CARPROL LS  RETARD 50mg TABLETA | CAJA X 30. HUMAX@METOPROLOL SUCCINATO@937@308@1567@@29160
168M0170001@METOPROLOL TARTRATO 50mg TABLETA | CAJA X 300. GEN-FAR S.A@METOPROLOL  TARTRATO@2632@2100@3165@@700
1138M0183109@METOTREXATO  2.5mg TABLETA | CAJA X 100. ROPSOHN@METOTREXATE@1745@1854@1637@@56
137M0193111@MOPSALEM 10mg TABLETA | CAJA X 100. SIEGFRIED@METOXALENO@0@20@0@@0
168M0203120@METRONIDAZOL 250mg SUSPENSION ORAL | FRASCO X 120ml. GEN-FAR S.A@METRONIDAZOL@0@1@0@@0
1125M0203123@METRONIDAZOL 500mg OVULO O TABLETA VAGINAL | CAJA X 200. PROCAPS@METRONIDAZOL@386@574@198@@944
