ROTACION DUANA @@@@@@@
CODIGO@MEDICAMENTO@MOLECULA@PROMEDIO MES@STOCK FARMACIA@PEDIDO 60 DIAS@@STOCK BODEGA
180A0370299@ABACAVIR 300mg TABLETA | FRASCO X 60. LEGRAND@ABACAVIR@15@60@0@@0
1145G0282251@POENGATIF 0.3% SOLUCION OFTALMICAS | FRASCO X 5ml. SCANDINAVIA@GATIFLOXACINA@0@2@0@@0
1168G0022192@GEMFIBROZILO 600mg TABLETA | CAJA X 300. GEN-FAR S.A@GEMFIBROZILO@997@789@1206@@300
1163G0032223@GENTAMICINA  80mg/2ml SOLUCION INYECTABLE | CAJA X 10. VITALIS@GENTAMICINA (SULFATO)@8@20@0@@2610
1163G0032222@GENTAMICINA 160mg/2ml SOLUCION INYECTABLE | CAJA X 1. VITALIS@GENTAMICINA (SULFATO)@26@14@38@@2231
1125G0032212@GENTAMICINA 0.3% SOLUCION OFTALMICAS | FRASCO X 6ML. PROCAPS@GENTAMICINA (SULFATO)@4@8@2@@277
143G0040001@GLIBENCLAMIDA  5mg TABLETA | CAJA X 300. COASPHARMA@GLIBENCLAMIDA@45@150@0@@0
1714GP230001@GLICERINA CARBONATADA 30ml SOLUCION OTICA | FRASCO X 1. LABORATORIO NATURQUIM@GLICERINA CARBONATADA@32@0@65@@421
1357G0380001@GLICERINA CARBONATADA  30ml SOLUCION OTICA | FRASCO X 1. PRODUCTOS DROGAM@GLICERINA CARBONATADA@6@6@6@@8
192GM010001@GLIMEPIRIDA 4mg TABLETA | CAJA X 16. LA SANTE@GLIMEPIRIDA@382@440@325@@0
192G0422290@GLIMEPIRIDA 2mg TABLETA | CAJA X 16. LA SANTE@GLIMEPIRIDA@285@218@352@@0
127G0460001@GLUCONITRIN D SOBRES 1500+1200mg POLVO PARA DISOLVER | CAJA X 30. BIOQUIFAR@GLUCOSAMINA+CONDROITIN@142@180@105@@10500
127G0470001@GLUCONITRIN - S 1500mg POLVO PARA DISOLVER | CAJA X 60. BIOQUIFAR@GLUCOSAMINA SULFATO@50@180@0@@12780
199G0552337@GUAYAPROFF JARABE 2% SOLUCION ORAL | FRASCO X 120ML. LAPROFF@GUAYACOLATO DE GLICERIO@17@25@10@@522
180H0012344@HALOPERIDOL 5mg TABLETA | CAJA X 100. HUMAX@HALOPERIDOL@82@270@0@@3190
180H0012342@HALOPERIDOL 10mg TABLETA | CAJA X 100. HUMAX@HALOPERIDOL@52@150@0@@2940
13H0012341@HALOPERIDOL 2mg/ml SOLUCION ORAL | FRASCO X 15mL. ACTIFARMA@HALOPERIDOL@9@13@5@@398
1119H0280001@HIALTEARS GOTAS 4% SOLUCION OFTALMICAS | FRASCO X 10mL. ESPECIALIDADES OFT@HIALURONATO DE SODIO@70@70@71@@0
1151H0282436@LAGRICEL 0.4%x0.5ml SOLUCION OFTALMICAS | CAJA X 20 VIALES. SOPHIA@HIALURONATO DE SODIO@4@0@9@@0
1158H0062367@HIDROCLOROTIAZIDA 25mg TABLETA | CAJA X 300. TECNOQUIMICAS@HIDROCLOROTIAZIDA@1408@1760@1058@@758120
127H0070001@CORTISOLONA 0.5% LOCION | FRASCO X 30mL. BIOQUIFAR@HIDROCORTISONA ACETATO@9@15@3@@293
198H0072367@HIDROCORTISONA 1% CREMA | TUBO X 15g. LAFRANCOL@HIDROCORTISONA ACETATO@39@50@29@@0
198L0492954@HEBAL 1g/2g UNGUENTO | TUBO X 20g. LAFRANCOL@HIDROCORTISONA-BENZOCAINA@55@34@76@@0
1113D0220091@HIDROMORFONA  2.5mg TABLETA | CAJA X 20. MINSALUD@HIDROMORFONA CLORHIDRATO@330@640@20@@0
1161H0340001@VENOSMIL 200mg CAPSULA | CAJA X 60. FAES FARMA@HIDROSMINA@37@30@45@@60
168H0222419@HIDROXICINA 25mg TABLETA | CAJA X 20. GEN-FAR S.A@HIDROXICINA@1524@1970@1078@@0
198H0142414@HIDERAX 100mg/2ml SOLUCION INYECTABLE | CAJA X 1. LAFRANCOL@HIDROXICINA@1@1@2@@1
127H0360002@ARTROQUIN 200mg TABLETA | CAJA X 20. BIOQUIFAR@HIDROXICLOROQUINA@337@258@418@@16940
127H0360001@ARTROQUIN 400mg TABLETA | CAJA X 20. BIOQUIFAR@HIDROXICLOROQUINA@105@80@130@@3330
155A1790019@MILPAX PLUS MENTA 0.633g+2.39g/100ml SUSPENSION ORAL | FRASCO X 355ML. FARMA@HIDROXIDO DE ALUMINIO+CARBONATO DE MAGNESIO@2@6@0@@0
1158H0380001@HIPROLUB 0.3% SOLUCION OFTALMICAS | FRASCO X 15ml. TECNOQUIMICAS@HIDROXIPROPIL METIL CELULOSA@2@1@5@@73
1116H0402461@GENTEAL 3mg/2.2mg GEL | TUBO X 10g. ALCON@HIDROXIPROPILMETILCELULOSA+CARBOMERO@0@0@1@@20
14H0392458@TEARS NATURAL FREE 1+3mg/0.8ml SOLUCION OFTALMICAS | CAJA X 32. ALCON@HIDROXIPROPIL METIL CELULOSA-DEXTRANO 70@1@2@0@@3
18H0412462@SYREA 500mg CAPSULA | CAJA X 100. ALPHARMA@HIDROXIUREA@51@0@103@@0
18H0412463@HYDROXYUREA 500mg CAPSULA | CAJA X 100. ALPHARMA@HIDROXIUREA@800@497@1105@@100
155H0452469@HERREX FOL 1000mcg+1mg TABLETA | CAJA X 30. FARMA@HIERRO POLIMATOSADO+ACIDO FOLICO@37@30@45@@20
119D0070001@COMPLEJO DE HIDROXIDO DE HIERRO EN SACARATO INY 100mg/5ml SOLUCION INYECTABLE | CAJA X 5. BAXTER@HIERRO SACARATO (HIERRO III-COMPLEJO DE HIDROXIDO SUCROSA@0@20@0@@0
127I0790001@COLESPAS 10mg TABLETA | CAJA X 1000. BIOQUIFAR@HIOSCINA N-BUTIL BROMURO@2502@2366@2638@@58216
127I0020002@BIPROFEN 100mg/5ml SUSPENSION ORAL | FRASCO X 120ML. BIOQUIFAR@IBUPROFENO@0@3@0@@201
168I0022501@IBUPROFENO 400mg TABLETA | CAJA X 100. GEN-FAR S.A@IBUPROFENO@1041@136@1946@@0
157I0022499@IBUPROFENO 100mg SUSPENSION ORAL | FRASCO X 120ML. COASPHARMA@IBUPROFENO@0@1@1@@0
180I0052520@IMIPRAMINA 25mg TABLETA | CAJA X 100. HUMAX@IMIPRAMINA@1012@985@1040@@24080
180I0052522@IMIPRAMINA 10mg TABLETA | CAJA X 100. HUMAX@IMIPRAMINA@112@160@65@@5900
1116I0860001@ULTIBRO BREEZHALER 110+50mcg POLVO PARA INHALACION	 | CAJA X 30. NOVARTIS@INDACATEROL GLICOPIRRONIO@292@0@585@@0
153I048A2599@NATRILIX SR RETARD 1.5mg TABLETA | CAJA X 30. LABORATORIOS SERVIER DE COLOMB@INDAPAMIDA@30@30@30@@0
130I0072529@RHOPHYLAC 300mcg/2ml SOLUCION INYECTABLE | CAJA X 1. BIOTOSCANA@INMUNOGLOBULINA ANTI-D RHO@0@0@1@@0
1145I0552618@NOVORAPID FLEXPEN 100ui/3ml SOLUCION INYECTABLE | CAJA X 5. NOVONORDISK@INSULINA ASPARTA@26@0@52@@0
1410I0900001@TRESIBA 100ui SOLUCION INYECTABLE | CAJA X 1. NOVONORDISK@INSULINA DEGLUDEC@60@40@81@@0
1145L0360001@LEVEMIR CARTUCHO 100ui/ml SOLUCION INYECTABLE | CAJA X 5. NOVONORDISK@INSULINA DETEMIR@14@9@20@@0
1144G0332271@LANTUS 100ui/mlx10ml SOLUCION INYECTABLE | CAJA X 120. SANOFI-AVENTIS@INSULINA GLARGINA@29@0@59@@0
1144G0332273@LANTUS SOLOSTAR 300ui/3ml SOLUCION INYECTABLE | CAJA X 162. SANOFI-AVENTIS@INSULINA GLARGINA@168@66@270@@0
1144I0572622@APIDRA SOLOSTAR 300ui/3ml SOLUCION INYECTABLE | CAJA X 162. SANOFI-AVENTIS@INSULINA GLULISINA@110@33@189@@0
1144I0552616@APIDRA 100ui/mlx10ml SOLUCION INYECTABLE | CAJA X 120. SANOFI-AVENTIS@INSULINA GLULISINA@9@13@7@@0
1105I0552614@HUMALOG  100ui/10ml SOLUCION INYECTABLE | CAJA X 1. LILLY@INSULINA LISPRO@4@7@1@@0
140I0172559@ASPROMIO 20mcg SOLUCION PARA INHALACION | FRASCO X 10ml. CHALVER@IPRATROPIO BROMURO@77@78@77@@0
132I0172558@ATROVENT 0.025% SOLUCION PARA INHALACION | FRASCO X 20ml. BOEHRINGER@IPRATROPIO BROMURO@0@2@0@@0
130I0172555@CIPLATROPIUM 0.025% SOLUCION PARA INHALACION | FRASCO X 15ml. BIOTOSCANA@IPRATROPIO BROMURO@1@2@2@@1422
1175I0660001@IRBETT 300mg TABLETA | CAJA X 28. SIEGFRIED@IRBESARTAN@14@278@0@@0
1174I0660001@CORIONAL 150mg TABLETA | CAJA X 30. CLOSTER@IRBESARTAN@11@0@23@@0
1112I0662635@IRBETT 150mg TABLETA | CAJA X 28. SIEGFRIED@IRBESARTAN@70@0@140@@0
175I0672642@IRBEPREX H 150/12.5mg TABLETA | CAJA X 30. GARMISCH@IRBESARTAN+HIDROCLOROTIAZIDA@7@30@0@@0
168I0682652@ISOCONAZOL 1% CREMA | TUBO X 20GR. GEN-FAR S.A@ISOCONAZOL@7@8@7@@0
168I0682651@ISOCONAZOL 1% SOLUCION TOPICA | FRASCO X 20ML. GEN-FAR S.A@ISOCONAZOL@5@4@7@@0
1161I0192564@ISONIAZIDA 300mg TABLETA O CAPSULA | CAJA X 10. VESALIUS PHARMA S.A.S@ISONIAZIDA@112@90@135@@0
1308I0192565@SOLONEX 100mg TABLETA O CAPSULA | CAJA X 100. VESALIUS PHARMA S.A.S@ISONIAZIDA@0@10@0@@0
199I0202569@DINITRATO DE ISOSORBIDA 10mg TABLETA | CAJA X 300. LAPROFF@ISOSORBIDE DINITRATO@123@465@0@@16292
118I0202566@ISOCORD SUBLINGUAL 5mg TABLETA | CAJA X 20. BAGO@ISOSORBIDE DINITRATO@7@10@5@@0
1125I0702667@ISOFACE 20mg CAPSULA | CAJA X 30. PROCAPS@ISOTRETINOINA@83@25@143@@0
174I0702664@TRETINEX 20mg CAPSULA | CAJA X 30. LAFRANCOL@ISOTRETINOINA@246@0@493@@70
127I0722676@MICOTRAZOL 100mg CAPSULA | CAJA X 100. BIOQUIFAR@ITRACONAZOL@80@0@160@@800
1708I0742686@PROCORALAN RECUBIERTA 7.5mg TABLETA | CAJA X 56. LABORATORIOS SERVIER DE COLOMB@IVABRADINA@70@56@84@@0
1708I0742685@PROCORALAN RECUBIERTA 5mg TABLETA | CAJA X 56. LABORATORIOS SERVIER DE COLOMB@IVABRADINA@283@392@174@@0
147I0372579@QUANOX 0.6% SOLUCION ORAL | FRASCO X 5ML. DERMACARE@IVERMECTINA@18@13@23@@0
1175I0370001@GOTAX 0.6% SOLUCION ORAL | FRASCO X 1. SIEGFRIED@IVERMECTINA@0@0@2@@0
127K0022695@FUNGISTEROL 200mg TABLETA | CAJA X 250. BIOQUIFAR@KETOCONAZOL@6@185@0@@2060
1367K0020001@OVALE SHAMPOO 2grx250ml EMULSION | FRASCO X 1. PHARMADERM S.A.@KETOCONAZOL@0@2@0@@0
168K0042715@KETOPROFENO 2.5% GEL | TUBO X 60GR. GEN-FAR S.A@KETOPROFENO@4@2@8@@0
1119K0062723@OPHTHAKER 0.5% SOLUCION OFTALMICAS | FRASCO X 5ML. ESPECIALIDADES OFT@KETOROLACO + TROMETAMINA@0@2@0@@0
131K0032724@BLASKET 0.5% SOLUCION OFTALMICAS | FRASCO X 5ML. BLASKOV@KETOTIFENO@9@56@0@@1257
1119K0033924@KENALER 0.05% SOLUCION OFTALMICAS | FRASCO X 5ML. ESPECIALIDADES OFT@KETOTIFENO@28@0@57@@0
127K0022693@ASMIKET 1mg TABLETA | CAJA X 250. BIOQUIFAR@KETOTIFENO@111@441@0@@8140
1119K0032709@KENALER R 0.025% SOLUCION OFTALMICAS | FRASCO X 5ML. ESPECIALIDADES OFT@KETOTIFENO@31@17@45@@300
127K0032694@ASMIKET  JARABE 100ml/5ml SOLUCION ORAL | FRASCO X 1. BIOQUIFAR@KETOTIFENO@15@28@3@@105
1161V0304673@VACUNA  GARDASIL 20mcg SOLUCION INYECTABLE | CAJA X 0.5ml. VARIOS E IMPORTADOS@L1 VIRUS DEL PAPILOMA HUMANO T@2@6@0@@6
1157L0660002@LACOTEM 100mg TABLETA | CAJA X 28. TECNOFARMA@LACOSAMIDA@398@448@349@@84
180L0270001@CONSTILAX 66.7g/15ml SOLUCION ORAL | CAJA X 12. HUMAX@LACTULOSA@292@170@415@@14431
1101L0012731@LUTIC 150mg TABLETA | CAJA X 100. LEGRAND@LAMIVUDINA@65@0@130@@0
180L0192843@LAMIVUDINA+ZIDOVUDINA 150/300mg TABLETA | CAJA X 60. HUMAX@LAMIVUDINA + ZIDOVUDINA@7@600@0@@8040
1990L0190003@CONVUDINA 150/300mg TABLETA | CAJA X 60. SALUSPHARMA S.A.S.@LAMIVUDINA + ZIDOVUDINA@887@10@1765@@0
171L0192842@COMBIVIR 150mg/300mg TABLETA | CAJA X 60. GLAXO@LAMIVUDINA + ZIDOVUDINA@60@0@120@@0
180L0282880@LAMOTRIGINA 50mg TABLETA | CAJA X 100. HUMAX@LAMOTRIGINA@247@300@195@@6330
180L0282879@LAMOTRIGINA 100mg TABLETA | CAJA X 100. HUMAX@LAMOTRIGINA@356@1215@0@@11790
1156L0280001@LAFIGIN 100mg TABLETA | CAJA X 30. SYNTHESIS@LAMOTRIGINA@180@0@360@@0
168L0302895@LANSOPRAZOL 30mg CAPSULA | CAJA X 14. GEN-FAR S.A@LANSOPRAZOL@1868@0@3736@@30562
1125L0322907@LATANOX 0.05mg SOLUCION OFTALMICAS | FRASCO X 5ml. PROCAPS@LATANOPROST@201@189@214@@127
1125L0342914@INFLAXEN 20mg TABLETA | CAJA X 30. PROCAPS@LEFLUNOMIDA@1138@838@1439@@140
173L0372922@KEPPRA  500mg TABLETA | CAJA X 30. GLAXO@LEVETIRACETAM@315@0@630@@720
1990L0370002@CONVULAM 100mg/ml SOLUCION ORAL | FRASCO X 300ML. SALUSPHARMA S.A.S.@LEVETIRACETAM@7@4@10@@0
173L0372924@KEPPRA 100mg SOLUCION ORAL | FRASCO X 300ml. GLAXO@LEVETIRACETAM@3@1@7@@20
1145L0372926@CEUMID 500mg TABLETA | CAJA X 30. SCANDINAVIA@LEVETIRACETAM@2578@3905@1253@@0
1700L0370002@LEVTEC 500mg TABLETA | CAJA X 30. NEXT PHARMA SOURCING S.A.S.@LEVETIRACETAM@781@0@1563@@0
168L0370004@LEVETIRACETAM 1000mg TABLETA | CAJA X 50. GEN-FAR S.A@LEVETIRACETAM@105@330@0@@0
1145L0372925@CEUMID 1000mg TABLETA | CAJA X 30. SCANDINAVIA@LEVETIRACETAM@37@0@75@@30
1108L0390001@LEVOCETIRIZINA 5mg TABLETA | CAJA X 10. MEMPHIS@LEVOCETIRIZINA@67@80@55@@0
1367L0390001@LECETIR 5mg TABLETA | CAJA X 20. PHARMADERM S.A.@LEVOCETIRIZINA@52@10@95@@0
198L0392930@ANTISS JARABE 0.5% SOLUCION ORAL | FRASCO X 100ML. LAFRANCOL@LEVOCETIRIZINA@1@2@2@@0
1136L0402934@MADOPAR 200/50mg TABLETA | FRASCO X 30. QUIDECA@LEVODOPA - BENSERAZIDA@442@135@750@@2460
1175L0032742@PARKEN 25/250mg TABLETA | CAJA X 70. SIEGFRIED@LEVODOPA + CARBIDOPA@1318@0@2638@@0
1175L0032741@PARKEN 25/100mg TABLETA | CAJA X 70. SIEGFRIED@LEVODOPA + CARBIDOPA@768@1280@258@@0
1168L0032740@CARBIDOPA+LEVODOPA 25/250mg TABLETA | CAJA X 30. WINTHROOP@LEVODOPA + CARBIDOPA@1691@2653@731@@0
166L0420001@UROFLAV 500mg TABLETA | CAJA X 7. GARMISCH@LEVOFLOXACINA@16@0@33@@0
166L0420003@UROFLAV 500mg TABLETA | CAJA X 10. GARMISCH@LEVOFLOXACINA@36@3@71@@0
180L0042746@LEVOMEPROMAZINA 25mg TABLETA | CAJA X 100. HUMAX@LEVOMEPROMAZINA@738@995@483@@23810
13L0042741@LEVOMEPROMAZINA 4% SOLUCION ORAL | FRASCO X 20mL. ACTIFARMA@LEVOMEPROMAZINA@5@0@10@@0
180L0042749@LEVOMEPROMAZINA 4% SOLUCION ORAL | FRASCO X 20ML. HUMAX@LEVOMEPROMAZINA@42@29@57@@1505
180L0042748@LEVOMEPROMAZINA 100mg TABLETA | CAJA X 100. HUMAX@LEVOMEPROMAZINA@146@370@0@@10520
11C030001@SINOIMPLANT 75mg IMPLANTE | KIT X 1. LAFRANCOL (ABBOTT)@LEVONORGESTREL@0@2@0@@0
198L0052754@SINOVUL 150mcg+30mcg TABLETA | CAJA X 1050. LAFRANCOL@LEVONORGESTREL + ETINILESTRADIOL@716@768@665@@0
192L0840001@LEPRIT ENZIMATICO 150/25/80mg TABLETA | CAJA X 60. LA SANTE@LEVOS/SIME/PANCRE@45@60@30@@0
166L0460001@GARMISCH SULPRID 25mg TABLETA | CAJA X 20. GARMISCH@LEVOSULPIRIDE@287@180@395@@100
130L0462948@DISLEP 25mg TABLETA | CAJA X 20. BIOTOSCANA@LEVOSULPIRIDE@5@100@0@@170
1158L0060113@LEVOTIROXINA  75mcg TABLETA | CAJA X 150. TECNOQUIMICAS@LEVOTIROXINA SODICA@8613@8883@8343@@213042
1158L0060112@LEVOTIROXINA 25mcg TABLETA | CAJA X 150. TECNOQUIMICAS@LEVOTIROXINA SODICA@1657@1491@1824@@20560
1158L0060111@LEVOTIROXINA 150mcg TABLETA | CAJA X 150. TECNOQUIMICAS@LEVOTIROXINA SODICA@592@795@391@@14400
1175L0062801@LEVOTIROXINA 88mg TABLETA | CAJA X 60. SIEGFRIED@LEVOTIROXINA SODICA@232@630@0@@0
1175L0062796@LEVOTIROXINA-TIROXIN 112mcg TABLETA | CAJA X 50. SIEGFRIED@LEVOTIROXINA SODICA@97@60@135@@0
1109L0062773@EUTIROX 25mcg TABLETA | CAJA X 50. MERCK@LEVOTIROXINA SODICA@0@33@0@@0
130L0062771@ELTROXIN 50mcg TABLETA | FRASCO X 50. ASPEN@LEVOTIROXINA SODICA@12@50@0@@0
1109L0062774@EUTIROX 50mcg TABLETA | CAJA X 50. MERCK@LEVOTIROXINA SODICA@22@0@45@@40
1109L0062776@EUTIROX 150mcg TABLETA | CAJA X 50. MERCK@LEVOTIROXINA SODICA@0@30@0@@0
1109L0062778@EUTIROX 125mcg TABLETA | CAJA X 50. MERCK@LEVOTIROXINA SODICA@15@16@14@@47
1109L0062784@EUTIROX 137mcg TABLETA | CAJA X 50. MERCK@LEVOTIROXINA SODICA@5@10@0@@0
1112L0062780@LEVOTIROXINA SODICA 50mcg TABLETA | CAJA X 150. SIEGFRIED@LEVOTIROXINA SODICA@13052@13456@12649@@0
1112L0062779@LEVOTIROXINA SODICA 100mcg TABLETA | CAJA X 150. SIEGFRIED@LEVOTIROXINA SODICA@9316@11885@6748@@0
1158L0060110@LEVOTIROXINA. 125mcg TABLETA | CAJA X 150. TECNOQUIMICAS@LEVOTIROXINA SODICA@1086@1389@783@@30470
1138L0492956@LIDOPROCTO 60+5mg SUPOSITORIO | CAJA X 10. ROPSOHN@LIDOCAINA+CORTICOIDE@72@43@102@@0
1138L0492955@LIDOPROCTO RECTAL 5+0.28g UNGUENTO | TUBO X 10GR. ROPSOHN@LIDOCAINA+CORTICOIDE@1@4@0@@2
173L0522960@VERSATIS 5% PARCHE 0.7g SISTEMA TRANSDERMICO | CAJA X 5. GRUNENTHAL@LIDOCAINA SIMPLE@93@0@188@@0
1124L0080003@PISACAINA 2% 50ml SOLUCION INYECTABLE | CAJA X 1. PISA FARMACEUTICA DE COLOMBIA@LIDOCAINA SIMPLE@0@1@0@@0
1138L0082801@ROXICAINA SIMPLE AMPOULEPACK 1%x10ml SOLUCION INYECTABLE | CAJA X 24. ROPSOHN@LIDOCAINA SIMPLE@0@3@0@@2
1138L0082792@ROXICAINA 2% GEL | TUBO X 30mL. ROPSOHN@LIDOCAINA SIMPLE@19@0@38@@0
132L0710001@TRAYENTA 5mg TABLETA | CAJA X 30. BOEHRINGER@LINAGLIPTINA@885@30@1740@@0
132L0830004@TRAYENTA DUO 2.5/850mg TABLETA | CAJA X 60. BOEHRINGER@LINAGLIPTINA+METFORMINA@105@0@210@@0
132L0710003@TRAYENTA DUO 2.5/1000mg TABLETA | CAJA X 60. BOEHRINGER@LINAGLIPTINA+METFORMINA@120@0@240@@0
132L0830006@TRAYENTA DUO 2.5mg/500mg TABLETA | CAJA X 60. BOEHRINGER@LINAGLIPTINA+METFORMINA@60@0@120@@0
1410L0850001@VICTOZA 6mg/ml SOLUCION INYECTABLE | CAJA X 1. NOVONORDISK@LIRAGLUTIDA@36@1@72@@0
198L0572969@LISIPRIL 20mg TABLETA | CAJA X 10. LAFRANCOL@LISINOPRIL@52@0@105@@0
150L0152810@LOPERAMIDA 2mg TABLETA | CAJA X 240. ECAR@LOPERAMIDA@826@1044@608@@17450
1416L0200001@LOPIMUNE 200+50mg TABLETA | FRASCO X 120. AVALON PHARMACEUTICAL S.A@LOPINAVIR+RITONAVIR@1560@1440@1680@@7920
11L0202845@KALETRA 200+50mg TABLETA | FRASCO X 120. ABBVIE SAS@LOPINAVIR+RITONAVIR@30@0@60@@180
198L0162818@LORATADINA 10mg TABLETA | CAJA X 100. LAFRANCOL@LORATADINA@4025@4391@3659@@100
168L0162815@LORATADINA JARABE 5mg/5mlx100ml SOLUCION ORAL | FRASCO X 100ML. GEN-FAR S.A@LORATADINA@10@11@10@@196
168L0162816@LORATADINA 10mg TABLETA | CAJA X 300. GEN-FAR S.A@LORATADINA@120@0@240@@25
1168L0172831@LORAZEPAM 2mg TABLETA | CAJA X 30. GEN-FAR S.A@LORAZEPAM@787@910@665@@0
1171L0172829@ATIVAN 1mg TABLETA | CAJA X 30. PFIZER@LORAZEPAM@455@30@880@@0
126L0602980@HEPA-MERZ GRANULADO 3g POLVO PARA DISOLVER | CAJA X 30. BIOPASS@L-ORNITINA LASFORTO@67@30@105@@0
1110L0632993@HYZAAR FORTE 100/25mg TABLETA | CAJA X 30. MERCK SHARP DOMME@LOSARTAN + HIDROCLOROTIAZIDA@22@30@15@@0
136L0622983@SATOREN H 50mg/12.5mg TABLETA | CAJA X 30. BUSSIE@LOSARTAN + HIDROCLOROTIAZIDA@30@90@0@@0
1158L0620003@LOSARTAN HCT  100/12.5mg TABLETA | CAJA X 15. TECNOQUIMICAS@LOSARTAN + HIDROCLOROTIAZIDA@15@90@0@@0
168L0212861@LOSARTAN 50mg TABLETA | CAJA X 900. GEN-FAR S.A@LOSARTAN POTASICO@8803@4853@12753@@0
1115L0210001@LOSARTAN 100mg TABLETA | CAJA X 300. NOVAMED@LOSARTAN POTASICO@577@547@608@@0
1145L0642995@TALOF 0.2% SOLUCION OFTALMICAS | FRASCO X 5ML. SCANDINAVIA@LOTEPREDNOL ETABONATO@2@0@6@@0
1145L0642994@LOTESOFT 5mg SOLUCION OFTALMICAS | FRASCO X 5ML. SCANDINAVIA@LOTEPREDNOL ETABONATO@0@0@2@@0
152L0640001@DISALOT 5% 5mg/ml SOLUCION OFTALMICAS | FRASCO X 5ML. ESPECIALIDADES OFT@LOTEPREDNOL ETABONATO@16@14@18@@0
198L0182837@LOVASTATINA 20mg TABLETA | CAJA X 100. LAFRANCOL@LOVASTATINA@372@530@215@@7100
168M0033002@MEBENDAZOL 100mg TABLETA | CAJA X 60. GEN-FAR S.A@MEBENDAZOL@1@30@0@@0
1101M0283180@MEBEMINT 200mg TABLETA | CAJA X 30. LEGRAND@MEBEVERINA@15@60@0@@0
198M0040112@MEDROXIPROGESTERONA  5mg TABLETA | CAJA X 30. LAFRANCOL@MEDROXIPROGESTERONA ACETATO@225@162@289@@0
198M0040054@DEPOTRIM 150mg/3ml SOLUCION INYECTABLE | CAJA X 1. LAFRANCOL@MEDROXIPROGESTERONA ACETATO@10@0@22@@6
198A080001@FEMELIN 25mg+5mg/0.5ml SOLUCION INYECTABLE | CAJA X 24. LAFRANCOL@MEDROXIPROGESTERONA ACETATO - ESTRADIOL CIPIONATO@28@0@58@@0
1161M0453250@MELATONINA 3mg TABLETA | FRASCO X 60. FUNAT@MELATONINA@30@0@60@@180
1119M0310001@OPTICAM 0.03% SOLUCION OFTALMICAS | FRASCO X 5ML. ESPECIALIDADES OFT@MELOXICAM@1@2@0@@2
192M0313203@MELOXICAM 7.5mg TABLETA | CAJA X 10. LA SANTE@MELOXICAM@2716@2586@2847@@3150
192M0313205@MELOXICAM 15mg TABLETA | CAJA X 50. LA SANTE@MELOXICAM@196@400@0@@0
1312M0320003@ALZANTINA 10mg TABLETA | CAJA X 30. SALUSPHARMA S.A.S.@MEMANTINE@3176@2625@3728@@0
126M026A3169@PENTASA GRANULADOS 1g SOBRE | CAJA X 50. BIOPASS@MESALAZINA@127@0@255@@0
126M026A3171@PENTASA GRANULADOS 2g SOBRE | CAJA X 30. BIOPASS@MESALAZINA@120@0@240@@0
195M026A0117@MESAX 4g/60ml SUSPENSION RECTAL | CAJA X 7. LABINCO@MESALAZINA@5@7@4@@0
195M026A0116@MESAX 500mg SUPOSITORIO | CAJA X 10. LABINCO@MESALAZINA@30@80@0@@0
195M026A0114@MESAX RETARD 500mg TABLETA | CAJA X 100. LABINCO@MESALAZINA@172@137@208@@0
180M026A3172@MESALAZINA CON RECUBIERTA 500mg TABLETA | CAJA X 30. HUMAX@MESALAZINA@1312@60@2565@@18810
1161M0103015@METADONA 10mg TABLETA | CAJA X 20. VARIOS E IMPORTADOS@METADONA@185@0@370@@0
168M0113030@METFORMINA RECUBIERTA 500mg TABLETA | CAJA X 300. GEN-FAR S.A@METFORMINA@2516@2505@2528@@0
1168M0113029@METFORMINA 850mg TABLETA | CAJA X 900. GEN-FAR S.A@METFORMINA@513@0@1028@@4
1124M0110001@METFORMINA CLORHIDRATO 850mg TABLETA | CAJA X 30. PISA FARMACEUTICA DE COLOMBIA@METFORMINA@1762@2742@782@@731820
1113M0123034@RITALINA 10mg TABLETA | CAJA X 30. MINSALUD@METILFENIDATO@135@285@0@@0
1121M0493260@MEDROL 4mg TABLETA | CAJA X 50. PFIZER@METILPREDNISOLONA@82@110@55@@0
1121M0493258@MEDROL 16mg TABLETA | CAJA X 14. PFIZER@METILPREDNISOLONA@2@15@0@@28
1121M0493261@DEPO-MEDROL 40mg/ml SUSPENSION INYECTABLE | FRASCO X 5ml. PFIZER@METILPREDNISOLONA  SUCCINATO@1@0@2@@0
198M0143048@METIMAZOL 5mg TABLETA | CAJA X 100. LAFRANCOL@METIMAZOL@1103@1793@414@@56
195M0150001@MIOFLEX 750mg TABLETA | CAJA X 100. LABINCO@METOCARBAMOL@2895@2759@3031@@0
1126M0160002@METOCLOPRAMIDA 10mg/2ml SOLUCION INYECTABLE | CAJA X 100. PROCLIN@METOCLOPRAMIDA@0@3@0@@0
127M0160001@NOVOMIT 30ml SOLUCION ORAL | FRASCO X 1. BIOQUIFAR@METOCLOPRAMIDA@5@13@0@@0
199M0163069@METOCLOPRAMIDA 10mg TABLETA | CAJA X 300. LAPROFF@METOCLOPRAMIDA@402@654@152@@12708
180M0520003@CARPROL 100mg TABLETA | CAJA X 30. HUMAX@METOPROLOL SUCCINATO@585@390@780@@11300
180M0520001@CARPROL 25mg TABLETA | CAJA X 30. HUMAX@METOPROLOL SUCCINATO@22@60@0@@3210
180M0520002@CARPROL LS  RETARD 50mg TABLETA | CAJA X 30. HUMAX@METOPROLOL SUCCINATO@830@353@1308@@29280
